earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 07:00:00,21.56,16.14,-25.14,ABB
2026-02-19 06:00:00,20.96,20.5,-2.18,ABB
2025-11-06 06:00:00,19.82,19.31,-2.59,ABB
2025-08-02 06:00:00,21.73,16.6,-23.61,ABB
2025-05-09 08:00:00,23.2,22.37,-3.58,ABB
2025-02-17 09:00:00,22.4,25.1,12.07,ABB
2024-11-04 07:00:00,21.89,20.79,-5.03,ABB
2024-08-08 06:00:00,18.16,20.93,15.26,ABB
2024-05-10 07:00:00,15.82,21.69,37.14,ABB
2024-02-20 08:00:00,16.24,16.29,0.33,ABB
2023-11-09 04:00:00,13.35,17.08,27.95,ABB
2023-08-11 06:00:00,11.09,13.96,25.83,ABB
2023-05-03 09:00:00,9.96,11.57,16.16,ABB
2023-02-10 07:00:00,9.4,14.44,53.62,ABB
2022-11-11 06:00:00,8.15,7.97,-2.23,ABB
2022-08-09 06:00:00,6.54,6.94,6.17,ABB
2022-05-04 09:00:00,6.4,7.04,10.0,ABB
2022-02-10 03:00:00,7.05,7.28,3.22,ABB
2021-10-26 10:00:00,5.03,5.66,12.45,ABB
2021-07-28 06:00:00,3.59,3.22,-10.32,ABB
2021-04-27 06:00:00,4.58,4.51,-1.65,ABB
2021-02-10 04:00:00,3.65,2.94,-19.45,ABB
2020-11-05 05:00:00,2.2,4.03,83.18,ABB
2020-07-23 10:00:00,-2.75,0.72,126.35,ABB
