earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-20 08:00:00,33.02,36.76,11.32,APOLLOHOSP
2026-02-10 07:00:00,33.18,35.95,8.34,APOLLOHOSP
2025-11-05 19:00:00,34.19,33.19,-2.92,APOLLOHOSP
2025-08-12 09:00:00,26.19,30.1,14.92,APOLLOHOSP
2025-05-30 09:00:00,27.22,27.1,-0.44,APOLLOHOSP
2025-02-10 08:00:00,25.04,25.89,3.41,APOLLOHOSP
2024-11-06 05:00:00,25.58,26.34,2.95,APOLLOHOSP
2024-08-13 09:00:00,21.43,21.23,-0.95,APOLLOHOSP
2024-05-30 09:00:00,19.56,17.65,-9.77,APOLLOHOSP
2024-02-08 04:00:00,18.12,17.06,-5.86,APOLLOHOSP
2023-11-09 04:00:00,18.59,16.2,-12.88,APOLLOHOSP
2023-08-11 04:00:00,13.45,11.59,-13.83,APOLLOHOSP
2023-05-30 05:00:00,15.35,10.5,-31.6,APOLLOHOSP
2023-02-14 10:00:00,15.89,10.67,-32.83,APOLLOHOSP
2022-11-10 08:00:00,15.73,14.19,-9.81,APOLLOHOSP
2022-08-11 09:00:00,13.82,22.05,59.56,APOLLOHOSP
2022-05-25 10:00:00,13.41,6.27,-53.25,APOLLOHOSP
2022-02-11 04:00:00,16.31,15.88,-2.62,APOLLOHOSP
2021-11-12 09:00:00,14.83,17.24,16.28,APOLLOHOSP
2021-08-13 09:00:00,10.96,16.94,54.55,APOLLOHOSP
2021-06-23 12:00:00,10.31,10.51,1.93,APOLLOHOSP
2021-02-12 06:00:00,4.76,9.38,96.87,APOLLOHOSP
2020-11-11 08:00:00,-2.34,2.04,187.26,APOLLOHOSP
2020-09-14 08:00:00,-24.3,-10.72,55.88,APOLLOHOSP
