earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2018-10-24 07:00:00,79.67,68.7,-13.77,BAJAJHLDNG
2017-10-17 06:00:00,65.18,75.0,15.07,BAJAJHLDNG
2008-05-22 03:00:00,29.22,12.33,-57.82,BAJAJHLDNG
2008-01-30 03:00:00,37.49,37.39,-0.27,BAJAJHLDNG
2007-10-19 04:00:00,26.62,33.2,24.72,BAJAJHLDNG
2007-05-17 04:00:00,31.77,31.73,-0.12,BAJAJHLDNG
2007-01-16 03:00:00,32.3,35.32,9.34,BAJAJHLDNG
2006-10-18 03:00:00,32.87,31.4,-4.47,BAJAJHLDNG
2006-07-15 02:00:00,29.17,26.3,-9.84,BAJAJHLDNG
2006-05-19 04:00:00,73.35,34.3,-53.23,BAJAJHLDNG
2006-01-13 03:00:00,29.41,26.33,-10.47,BAJAJHLDNG
