earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 11:00:00,6.79,6.4,-5.79,SBICARD
2026-01-28 08:00:00,6.07,5.85,-3.66,SBICARD
2025-10-24 08:00:00,6.06,4.67,-22.94,SBICARD
2025-07-25 07:00:00,6.04,5.84,-3.38,SBICARD
2025-04-24 09:00:00,4.64,5.61,20.89,SBICARD
2025-01-28 07:00:00,4.31,4.03,-6.6,SBICARD
2024-10-29 05:00:00,6.05,4.25,-29.78,SBICARD
2024-07-26 09:00:00,6.58,6.25,-5.01,SBICARD
2024-04-26 08:00:00,6.06,6.96,14.87,SBICARD
2024-01-25 07:00:00,6.14,5.78,-5.83,SBICARD
2023-10-27 08:00:00,6.15,6.35,3.32,SBICARD
2023-07-28 06:00:00,6.11,6.24,2.13,SBICARD
2023-04-28 08:00:00,5.88,6.28,6.74,SBICARD
2023-01-24 03:00:00,5.63,5.36,-4.8,SBICARD
2022-10-27 09:00:00,6.9,4.64,-32.75,SBICARD
2022-07-28 04:00:00,6.9,5.53,-19.86,SBICARD
2022-04-29 06:00:00,4.76,6.11,28.36,SBICARD
2022-01-24 06:00:00,4.8,4.07,-15.21,SBICARD
2021-10-28 05:00:00,4.67,3.63,-22.27,SBICARD
2021-07-23 06:00:00,3.21,3.21,-0.1,SBICARD
2021-04-26 06:00:00,3.32,1.85,-44.28,SBICARD
2021-01-21 07:00:00,2.6,2.21,-15.0,SBICARD
