earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 16:00:00,0.14,2.1,1359.96,ARE&M
2026-01-26 16:00:00,0.3,-6.35,-2200.77,ARE&M
2025-10-27 16:00:00,0.39,0.5,28.21,ARE&M
2025-07-21 16:00:00,0.63,0.48,-24.02,ARE&M
2025-04-28 16:00:00,0.6,0.51,-15.52,ARE&M
2025-01-27 16:00:00,0.9,0.69,-22.99,ARE&M
2024-10-21 16:00:00,0.92,0.87,-5.68,ARE&M
2024-07-22 16:00:00,0.61,0.88,45.02,ARE&M
2024-04-22 16:00:00,0.63,0.89,42.12,ARE&M
2024-01-29 16:00:00,0.8,0.82,2.11,ARE&M
2023-10-23 16:00:00,0.88,0.87,-1.44,ARE&M
2023-07-24 16:00:00,0.39,0.51,31.47,ARE&M
2023-04-24 16:00:00,0.79,0.83,4.59,ARE&M
2023-01-30 16:00:00,0.74,0.31,-57.9,ARE&M
2022-10-24 16:00:00,0.76,0.35,-53.96,ARE&M
2022-07-25 16:00:00,0.67,0.78,17.01,ARE&M
2022-04-25 16:00:00,0.88,0.71,-19.7,ARE&M
2022-01-31 16:00:00,0.56,0.58,3.57,ARE&M
2021-10-25 16:00:00,0.75,0.7,-6.67,ARE&M
2021-07-26 16:00:00,0.61,0.73,20.66,ARE&M
2021-04-26 16:00:00,0.58,0.72,24.14,ARE&M
2021-02-01 16:00:00,0.65,0.62,-3.86,ARE&M
2020-10-26 16:00:00,0.84,0.56,-32.95,ARE&M
2020-07-27 16:00:00,0.54,0.59,10.28,ARE&M
