earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-18 04:00:00,0.25,0.34,36.0,YESBANK
2026-01-17 02:00:00,0.25,0.3,20.0,YESBANK
2025-10-18 03:00:00,0.1,0.21,110.0,YESBANK
2025-07-20 00:00:00,0.2,0.26,30.0,YESBANK
2025-04-19 03:00:00,0.19,0.23,23.21,YESBANK
2025-01-25 02:00:00,0.18,0.19,5.56,YESBANK
2024-10-26 03:00:00,0.17,0.18,4.35,YESBANK
2024-07-20 03:00:00,0.15,0.16,4.92,YESBANK
2024-04-27 03:00:00,0.11,0.15,39.53,YESBANK
2024-01-27 02:00:00,0.17,0.08,-52.24,YESBANK
2023-10-21 03:00:00,0.14,0.08,-44.83,YESBANK
2023-07-22 03:00:00,0.12,0.12,-2.7,YESBANK
2023-04-22 04:00:00,0.13,0.07,-47.5,YESBANK
2023-01-21 03:00:00,0.14,0.02,-85.71,YESBANK
2022-10-22 04:00:00,0.13,0.06,-55.0,YESBANK
2022-07-23 03:00:00,0.03,0.12,349.94,YESBANK
2022-04-30 04:00:00,-1.82,0.15,108.25,YESBANK
2022-01-22 02:00:00,0.05,0.11,144.44,YESBANK
2021-10-22 03:00:00,0.07,0.09,38.46,YESBANK
2021-07-23 06:00:00,-0.04,0.08,300.0,YESBANK
2021-04-30 07:00:00,-0.05,-1.51,-2920.0,YESBANK
2021-01-22 05:00:00,-0.09,0.06,166.67,YESBANK
2020-10-23 07:00:00,-0.21,0.06,127.91,YESBANK
2020-07-28 07:00:00,-0.18,0.04,122.22,YESBANK
